macmorpho
termo,freq
chikungunya,14368
dengue,7547
joao,6174
zika,2860
febre,2679
casos,1904
saude,1593
combate,1269
virus,1156
mosquito,837

floresta,
termo,freq
chikungunya,14368
dengue,7547
febre,3136
zika,2860
casos,1904
saude,1593
combate,1166
virus,1156
mosquito,837
caso,719
